Source,Target,Distance,num_paths,initial_config,final_config,path,search_depth,chunks,vals_str
04,06,4,1,Partial,Flat,"[[4, 12, 25, 19, 6]]",1,1,GSGG
04,07,4,2,Partial,Flat,"[[4, 10, 24, 18, 7], [4, 10, 23, 29, 7]]",NA,NA,NA
04,08,2,1,Partial,Flat,"[[4, 12, 8]]",1,0,GG
04,09,6,1,Partial,Flat,"[[4, 10, 23, 29, 16, 3, 9]]",3,2,SSGSGG
04,10,1,1,Partial,Flat,"[[4, 10]]",1,0,G
04,11,7,3,Partial,Flat,"[[4, 12, 8, 21, 27, 14, 5, 11], [4, 12, 25, 19, 6, 14, 5, 11], [4, 12, 25, 19, 6, 0, 15, 11]]",NA,NA,NA
04,12,1,1,Partial,Partial,"[[4, 12]]",1,0,G
04,13,2,1,Partial,Partial,"[[4, 10, 13]]",1,0,GG
04,14,5,2,Partial,Partial,"[[4, 12, 8, 21, 27, 14], [4, 12, 25, 19, 6, 14]]",NA,NA,NA
04,15,6,1,Partial,Partial,"[[4, 12, 25, 19, 6, 0, 15]]",4,1,SSSGGG
04,16,4,1,Partial,Partial,"[[4, 10, 23, 29, 16]]",1,1,GSGG
04,17,6,2,Partial,Partial,"[[4, 10, 24, 18, 7, 1, 17], [4, 10, 23, 29, 7, 1, 17]]",NA,NA,NA
04,18,3,1,Partial,Partial,"[[4, 10, 24, 18]]",1,0,GGG
04,19,3,1,Partial,Partial,"[[4, 12, 25, 19]]",1,0,GGG
04,20,7,1,Partial,Partial,"[[4, 10, 23, 29, 16, 3, 9, 20]]",5,1,SSSSGGG
04,21,3,1,Partial,Partial,"[[4, 12, 8, 21]]",1,0,GGG
04,22,8,6,Partial,Partial,"[[4, 12, 8, 21, 27, 14, 5, 11, 22], [4, 12, 25, 19, 6, 14, 5, 11, 22], [4, 12, 25, 19, 6, 0, 15, 11, 22], [4, 10, 24, 18, 7, 1, 17, 28, 22], [4, 10, 23, 29, 7, 1, 17, 28, 22], [4, 10, 23, 29, 16, 3, 9, 28, 22]]",NA,NA,NA
04,23,2,1,Partial,Partial,"[[4, 10, 23]]",1,0,GG
04,24,2,1,Partial,Partial,"[[4, 10, 24]]",1,0,GG
04,25,2,1,Partial,Partial,"[[4, 12, 25]]",1,0,GG
04,26,7,1,Partial,Partial,"[[4, 12, 25, 19, 6, 0, 15, 26]]",4,2,SSSGSGG
04,27,4,1,Partial,Partial,"[[4, 12, 8, 21, 27]]",1,1,GSGG
04,28,7,3,Partial,Partial,"[[4, 10, 24, 18, 7, 1, 17, 28], [4, 10, 23, 29, 7, 1, 17, 28], [4, 10, 23, 29, 16, 3, 9, 28]]",NA,NA,NA
04,29,3,1,Partial,Partial,"[[4, 10, 23, 29]]",1,0,GGG
04,30,8,3,Partial,Tower,"[[4, 10, 24, 18, 7, 1, 17, 28, 30], [4, 10, 23, 29, 7, 1, 17, 28, 30], [4, 10, 23, 29, 16, 3, 9, 28, 30]]",NA,NA,NA
04,31,8,2,Partial,Tower,"[[4, 12, 25, 19, 6, 0, 15, 26, 31], [4, 10, 23, 29, 16, 3, 9, 20, 31]]",NA,NA,NA
04,32,3,1,Partial,Tower,"[[4, 10, 23, 32]]",1,0,GGG
04,33,3,1,Partial,Tower,"[[4, 10, 24, 33]]",1,0,GGG
04,34,4,1,Partial,Tower,"[[4, 12, 8, 21, 34]]",1,1,GSGG
04,35,3,1,Partial,Tower,"[[4, 12, 25, 35]]",1,0,GGG
05,00,3,2,Partial,Partial,"[[5, 14, 6, 0], [5, 11, 15, 0]]",NA,NA,NA
05,01,5,1,Partial,Partial,"[[5, 11, 22, 28, 17, 1]]",3,1,SSGGG
05,02,5,1,Partial,Partial,"[[5, 14, 27, 21, 8, 2]]",3,1,SSGGG
05,03,5,2,Partial,Partial,"[[5, 11, 26, 20, 9, 3], [5, 11, 22, 28, 9, 3]]",NA,NA,NA
05,04,6,2,Partial,Partial,"[[5, 14, 6, 19, 25, 12, 4], [5, 14, 27, 21, 8, 12, 4]]",NA,NA,NA
05,06,2,1,Partial,Flat,"[[5, 14, 6]]",1,0,GG
05,07,6,1,Partial,Flat,"[[5, 11, 22, 28, 17, 1, 7]]",3,2,SSGSGG
05,08,4,1,Partial,Flat,"[[5, 14, 27, 21, 8]]",1,1,GSGG
05,09,4,2,Partial,Flat,"[[5, 11, 26, 20, 9], [5, 11, 22, 28, 9]]",NA,NA,NA
05,10,7,3,Partial,Flat,"[[5, 14, 6, 19, 25, 12, 4, 10], [5, 14, 27, 21, 8, 12, 4, 10], [5, 14, 27, 21, 8, 2, 13, 10]]",NA,NA,NA
05,11,1,1,Partial,Flat,"[[5, 11]]",1,0,G
05,12,5,2,Partial,Partial,"[[5, 14, 6, 19, 25, 12], [5, 14, 27, 21, 8, 12]]",NA,NA,NA
05,13,6,1,Partial,Partial,"[[5, 14, 27, 21, 8, 2, 13]]",4,1,SSSGGG
05,14,1,1,Partial,Partial,"[[5, 14]]",1,0,G
05,15,2,1,Partial,Partial,"[[5, 11, 15]]",1,0,GG
05,16,6,2,Partial,Partial,"[[5, 11, 26, 20, 9, 3, 16], [5, 11, 22, 28, 9, 3, 16]]",NA,NA,NA
05,17,4,1,Partial,Partial,"[[5, 11, 22, 28, 17]]",1,1,GSGG
05,18,7,1,Partial,Partial,"[[5, 11, 22, 28, 17, 1, 7, 18]]",5,1,SSSSGGG
05,19,3,1,Partial,Partial,"[[5, 14, 6, 19]]",1,0,GGG
05,20,3,1,Partial,Partial,"[[5, 11, 26, 20]]",1,0,GGG
05,21,3,1,Partial,Partial,"[[5, 14, 27, 21]]",1,0,GGG
05,22,2,1,Partial,Partial,"[[5, 11, 22]]",1,0,GG
05,23,8,6,Partial,Partial,"[[5, 14, 6, 19, 25, 12, 4, 10, 23], [5, 14, 27, 21, 8, 12, 4, 10, 23], [5, 14, 27, 21, 8, 2, 13, 10, 23], [5, 11, 26, 20, 9, 3, 16, 29, 23], [5, 11, 22, 28, 9, 3, 16, 29, 23], [5, 11, 22, 28, 17, 1, 7, 29, 23]]",NA,NA,NA
05,24,7,1,Partial,Partial,"[[5, 14, 27, 21, 8, 2, 13, 24]]",4,2,SSSGSGG
05,25,4,1,Partial,Partial,"[[5, 14, 6, 19, 25]]",1,1,GSGG
05,26,2,1,Partial,Partial,"[[5, 11, 26]]",1,0,GG
05,27,2,1,Partial,Partial,"[[5, 14, 27]]",1,0,GG
05,28,3,1,Partial,Partial,"[[5, 11, 22, 28]]",1,0,GGG
05,29,7,3,Partial,Partial,"[[5, 11, 26, 20, 9, 3, 16, 29], [5, 11, 22, 28, 9, 3, 16, 29], [5, 11, 22, 28, 17, 1, 7, 29]]",NA,NA,NA
05,30,3,1,Partial,Tower,"[[5, 11, 22, 30]]",1,0,GGG
05,31,3,1,Partial,Tower,"[[5, 11, 26, 31]]",1,0,GGG
05,32,8,3,Partial,Tower,"[[5, 11, 26, 20, 9, 3, 16, 29, 32], [5, 11, 22, 28, 9, 3, 16, 29, 32], [5, 11, 22, 28, 17, 1, 7, 29, 32]]",NA,NA,NA
05,33,8,2,Partial,Tower,"[[5, 14, 27, 21, 8, 2, 13, 24, 33], [5, 11, 22, 28, 17, 1, 7, 18, 33]]",NA,NA,NA
05,34,3,1,Partial,Tower,"[[5, 14, 27, 34]]",1,0,GGG
05,35,4,1,Partial,Tower,"[[5, 14, 6, 19, 35]]",1,1,GSGG
06,00,1,1,Flat,Partial,"[[6, 0]]",1,0,G
06,01,7,3,Flat,Partial,"[[6, 14, 5, 11, 22, 28, 17, 1], [6, 0, 15, 11, 22, 28, 17, 1], [6, 0, 15, 26, 20, 9, 17, 1]]",NA,NA,NA
06,02,4,2,Flat,Partial,"[[6, 27, 21, 8, 2], [6, 19, 25, 8, 2]]",NA,NA,NA
06,03,6,1,Flat,Partial,"[[6, 0, 15, 26, 20, 9, 3]]",4,1,SSSGGG
06,04,4,1,Flat,Partial,"[[6, 19, 25, 12, 4]]",2,1,SGGG
06,05,2,1,Flat,Partial,"[[6, 14, 5]]",1,0,GG
06,07,8,8,Flat,Flat,"[[6, 14, 5, 11, 22, 28, 17, 1, 7], [6, 27, 21, 8, 2, 13, 24, 18, 7], [6, 19, 25, 8, 2, 13, 24, 18, 7], [6, 19, 25, 12, 4, 10, 24, 18, 7], [6, 19, 25, 12, 4, 10, 23, 29, 7], [6, 0, 15, 11, 22, 28, 17, 1, 7], [6, 0, 15, 26, 20, 9, 17, 1, 7], [6, 0, 15, 26, 20, 9, 3, 16, 7]]",NA,NA,NA
06,08,3,2,Flat,Flat,"[[6, 27, 21, 8], [6, 19, 25, 8]]",NA,NA,NA
06,09,5,1,Flat,Flat,"[[6, 0, 15, 26, 20, 9]]",2,2,SGSGG
06,10,5,1,Flat,Flat,"[[6, 19, 25, 12, 4, 10]]",2,2,SGSGG
06,11,3,2,Flat,Flat,"[[6, 14, 5, 11], [6, 0, 15, 11]]",NA,NA,NA
06,12,3,1,Flat,Partial,"[[6, 19, 25, 12]]",2,1,SGG
06,13,5,2,Flat,Partial,"[[6, 27, 21, 8, 2, 13], [6, 19, 25, 8, 2, 13]]",NA,NA,NA
06,14,1,1,Flat,Partial,"[[6, 14]]",1,0,G
06,15,2,1,Flat,Partial,"[[6, 0, 15]]",1,0,GG
06,16,7,1,Flat,Partial,"[[6, 0, 15, 26, 20, 9, 3, 16]]",5,1,SSSSGGG
06,17,6,3,Flat,Partial,"[[6, 14, 5, 11, 22, 28, 17], [6, 0, 15, 11, 22, 28, 17], [6, 0, 15, 26, 20, 9, 17]]",NA,NA,NA
06,18,7,3,Flat,Partial,"[[6, 27, 21, 8, 2, 13, 24, 18], [6, 19, 25, 8, 2, 13, 24, 18], [6, 19, 25, 12, 4, 10, 24, 18]]",NA,NA,NA
06,19,1,1,Flat,Partial,"[[6, 19]]",1,0,G
06,20,4,1,Flat,Partial,"[[6, 0, 15, 26, 20]]",2,1,SGGG
06,21,2,1,Flat,Partial,"[[6, 27, 21]]",1,0,GG
06,22,4,2,Flat,Partial,"[[6, 14, 5, 11, 22], [6, 0, 15, 11, 22]]",NA,NA,NA
06,23,6,1,Flat,Partial,"[[6, 19, 25, 12, 4, 10, 23]]",4,1,SSSGGG
06,24,6,3,Flat,Partial,"[[6, 27, 21, 8, 2, 13, 24], [6, 19, 25, 8, 2, 13, 24], [6, 19, 25, 12, 4, 10, 24]]",NA,NA,NA
06,25,2,1,Flat,Partial,"[[6, 19, 25]]",1,0,GG
06,26,3,1,Flat,Partial,"[[6, 0, 15, 26]]",2,1,SGG
06,27,1,1,Flat,Partial,"[[6, 27]]",1,0,G
06,28,5,2,Flat,Partial,"[[6, 14, 5, 11, 22, 28], [6, 0, 15, 11, 22, 28]]",NA,NA,NA
06,29,7,1,Flat,Partial,"[[6, 19, 25, 12, 4, 10, 23, 29]]",5,1,SSSSGGG
06,30,5,2,Flat,Tower,"[[6, 14, 5, 11, 22, 30], [6, 0, 15, 11, 22, 30]]",NA,NA,NA
06,31,4,1,Flat,Tower,"[[6, 0, 15, 26, 31]]",2,1,SGGG
06,32,7,1,Flat,Tower,"[[6, 19, 25, 12, 4, 10, 23, 32]]",5,1,SSSSGGG
